,url,cat1,cat2,cat3
0,https://knothome.com/products/aurelia-bundle,وسائد,حزم وسائد مصممة,
1,https://knothome.com/products/luther-bundle,وسائد,حزم وسائد مصممة,
2,https://knothome.com/products/aura-bundle,وسائد,حزم وسائد مصممة,
3,https://knothome.com/products/sahara-bundle,وسائد,حزم وسائد مصممة,
4,https://knothome.com/products/agatha-bundle,وسائد,حزم وسائد مصممة,
5,https://knothome.com/products/madison-bundle,وسائد,حزم وسائد مصممة,
6,https://knothome.com/products/sadie-bundle,وسائد,حزم وسائد مصممة,
7,https://knothome.com/products/sandy-bundle,وسائد,حزم وسائد مصممة,
8,https://knothome.com/products/anthony-bundle,وسائد,حزم وسائد مصممة,
9,https://knothome.com/products/trinity-bundle,وسائد,حزم وسائد مصممة,
10,https://knothome.com/products/shilo-bundle,وسائد,حزم وسائد مصممة,
11,https://knothome.com/products/naya-bundle,وسائد,حزم وسائد مصممة,
12,https://knothome.com/products/norma-bundle,وسائد,حزم وسائد مصممة,
13,https://knothome.com/products/jennifer-bundle,وسائد,حزم وسائد مصممة,
14,https://knothome.com/products/hyacinth-bundle,وسائد,حزم وسائد مصممة,
15,https://knothome.com/products/dania-bundle,وسائد,حزم وسائد مصممة,
16,https://knothome.com/products/alma-canova,وسائد,وسائد مفردة,
17,https://knothome.com/products/innsbruck-canova,وسائد,وسائد مفردة,
18,https://knothome.com/products/rafael-canova,وسائد,وسائد مفردة,
19,https://knothome.com/products/titus-matisse,وسائد,وسائد مفردة,
20,https://knothome.com/products/caren-matisse,وسائد,وسائد مفردة,
21,https://knothome.com/products/lucy-canova,وسائد,وسائد مفردة,
22,https://knothome.com/products/amy-sofia,وسائد,وسائد مفردة,
23,https://knothome.com/products/amy-sofia-ii,وسائد,وسائد مفردة,
24,https://knothome.com/products/hera-canova,وسائد,وسائد مفردة,
25,https://knothome.com/products/sharon-matisse,وسائد,وسائد مفردة,
26,https://knothome.com/products/shaina-matisse,وسائد,وسائد مفردة,
27,https://knothome.com/products/azure-matisse,وسائد,وسائد مفردة,
28,https://knothome.com/products/vera-canova,وسائد,وسائد مفردة,
29,https://knothome.com/products/alessandra-canova,وسائد,وسائد مفردة,
30,https://knothome.com/products/faaris-matisse,وسائد,وسائد مفردة,
31,https://knothome.com/products/alessandra-matisse,وسائد,وسائد مفردة,
